Date,Week_Number,Weekly_Cases
29-Jan-20,1,5
5-Feb-20,2,10
12-Feb-20,3,10
19-Feb-20,4,15
26-Feb-20,5,24
4-Mar-20,6,112
11-Mar-20,7,1169
18-Mar-20,8,8108
25-Mar-20,9,60202
1-Apr-20,10,158508
8-Apr-20,11,219715
15-Apr-20,12,206941
22-Apr-20,13,199518
29-Apr-20,14,196926
6-May-20,15,188366
13-May-20,16,159476
20-May-20,17,157657
27-May-20,18,145735
3-Jun-20,19,144972
10-Jun-20,20,142624
17-Jun-20,21,158854
24-Jun-20,22,219322
1-Jul-20,23,311665
8-Jul-20,24,369612
15-Jul-20,25,441049
22-Jul-20,26,467185
29-Jul-20,27,450916
5-Aug-20,28,398138
12-Aug-20,29,377334
19-Aug-20,30,330715
26-Aug-20,31,296099
2-Sep-20,32,289634
9-Sep-20,33,255764
16-Sep-20,34,271440
23-Sep-20,35,306166
30-Sep-20,36,296285
7-Oct-20,37,318266
14-Oct-20,38,371600
21-Oct-20,39,434000
28-Oct-20,40,528211
4-Nov-20,41,704449
11-Nov-20,42,919098
18-Nov-20,43,1143864
25-Nov-20,44,1252299
2-Dec-20,45,1172955
9-Dec-20,46,1480702
16-Dec-20,47,1525883
23-Dec-20,48,1500119
30-Dec-20,49,1302207
6-Jan-21,50,1605337
13-Jan-21,51,1709592
20-Jan-21,52,1378621
27-Jan-21,53,1141007
3-Feb-21,54,955697
10-Feb-21,55,727796
17-Feb-21,56,539439
24-Feb-21,57,476527
3-Mar-21,58,443748
10-Mar-21,69,392655
17-Mar-21,60,382375
